"17q",0,0,1.56,0
"18q",99.99,0,0,0
"19q",0,0,0,0
"20q",0,0,0,0
"21q",7.71,0,0,0
"22q",17.7,0,1.39,0
"Yq",0,0,0,0
"Xq",80.82,0,0,0
"1p",8.38,0,14.27,7.68
"2p",0,0,3.43,4.63
"3p",25.31,0,1.64,5.67
"4p",17.85,0,0,0
"5p",0,0,0,0
"6p",1.17,0,3.04,0
"7p",0,0,0,5.48
"8p",3.11,0,3.49,0
"9p",0,0,20.24,82.95
"10p",0,0,19.72,0
"11p",0,0,0,6.86
"12p",5.64,0,9.51,0
"16p",29.86,0,0,41.49
"17p",0,0,69.82,0
"18p",17.52,0,35.23,0
"19p",4.19,0,1.91,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0.61,0,0,0
"1q",1.03,0,11.39,3.1
"2q",1.69,0,24.52,0
"3q",0.43,0,0,16.04
"4q",0,0,0,2.27
"5q",0.46,0,6.6,10.21
"6q",0,0,2.35,2.37
"7q",0,0,2.18,4.37
"8q",3.28,0,0,6.93
"9q",6.52,0,0,4.38
"10q",0.38,0,7.9,0
"11q",0,0,17.3,0
"12q",8.49,0,2.86,0
"13q",0,0,12.91,0
"14q",0,0,0.77,3.4
"15q",0.71,0,9.2,4.86
"16q",0,0,0,0
"17q",58.89,0,0,0
"18q",0.85,0,2.84,0
"19q",7.08,0,52.12,0
"20q",0,0,11.23,0
"21q",33.6,0,0.95,0
"22q",37.01,0,63.87,0
"Yq",0,0,0,0
"Xq",0,0,0,0
"1p",2.27,0,0,0
"2p",0,0,2.96,4.55
"3p",26.16,0,0.41,5.62
"4p",0,0,0,0
"5p",0,0,0,0
"6p",0,0,0,11.07
"7p",0,0,0,0
"8p",0,0,0,0
"9p",0,0,0,73.7
"10p",1.09,0,0,0
"11p",0,0,0,0
"12p",7.22,0,9.63,0
"16p",0,0,0,11.71
"17p",0,0,0,0
"18p",13.98,0,0,0
"19p",0,0,0,0
"20p",0,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0.61,0,0,0
"1q",0,0,0,0
"2q",0,0,0,0
"3q",0,0,0,3.19
"4q",0,0,0,0
"5q",0,0,0,2.67
"6q",0,0,0,0
"7q",0,0,0.37,0
"8q",0,0,0,2.68
"9q",0,0,0,0
"10q",0,0,6.22,0
"11q",0.44,0,17.3,18.04
"12q",0.56,0,0,0
"13q",0.39,0,3.79,0
"14q",0.34,0,1.34,0
"15q",0,0,8.2,0
"16q",0,0,0,0
"17q",24.19,0,0,0
"18q",15.49,0,0,0
"19q",0,0,0,0
"20q",0,0,0,0
"21q",0,0,0,0
"22q",0,0,0,0
"Yq",0,0,0,0
"Xq",0,0,0,0
"1p",0,0,83.11,0
"2p",0,0,0,0
"3p",0,0,91.12,0
"4p",0,0,100,0
"5p",97.96,0,0,0
"6p",14.99,0,0,0
"7p",0,0,0,0
"8p",5.13,0,0,0
"9p",0,0,64.92,0
"10p",0,0,100,0
"11p",0,0,0,0
"12p",0,0,99.7,0
"16p",0,0,5.78,0
"17p",0,0,0,0
"18p",0,0,0,0
"19p",0,0,0,0
"20p",32.6,0,0,0
"21p",0,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,0
"1q",0.76,0,0.73,0
"2q",0,0,0,2.53
"3q",0,0,88.31,0
"4q",0,0,99.92,0
"5q",0,0,41.57,2.2
"6q",0,0,0,0
"7q",0,0,1.42,0
"8q",38.85,0,1.37,4.49
"9q",1.39,0,0,0
"10q",0,0,100,0
"11q",0,0,25.41,3.36
"12q",0,0,100,0
"13q",0,0,33.59,2.72
"14q",43.47,0,0,0
"15q",14,0,5.58,0
"16q",0,0,0,0
"17q",0,0,0,0
"18q",0.79,0,47.83,0
"19q",7.01,0,0,0
"20q",53.69,0,0,0
"21q",0,0,1.52,0
"22q",0,0,100,0
"Yq",0,0,0,0
"Xq",15.2,0,0,0
"1p",49.45,0,28.46,0
"2p",97,0,0,0
"3p",49.88,0,19.74,0
"4p",100,0,0,0
"5p",99.51,0,0,0
"6p",72.29,0,0,0
"7p",62.09,0,0,10.71
"8p",32.23,0,67.4,0
"9p",100,0,0,0
"10p",0,0,0,0
"11p",0,0,35.21,0
"12p",28.73,0,70.9,0
"16p",18.42,0,1.16,11.05
"17p",0,0,0,99.89
"18p",0,0,45.78,0
"19p",82.1,0,17.84,0
"20p",85,0,0,0
"21p",85.12,0,0,0
"Yp",0,0,0,0
"Xp",0,0,0,11.25
"1q",98.21,0,0,2.47
"2q",36.34,0,22.48,1.71
"3q",71.2,0,3.84,17.36
"4q",71.4,0,11.22,0
"5q",17.33,0,56.51,0
"6q",5.17,0,2.95,33.55
"7q",67.67,0,0,0
"8q",50.18,0,0,0
"9q",58.95,0,40.99,0
"10q",13.12,0,74.35,2.87
"11q",0,0,30.9,0
"12q",100,0,0,0
"13q",22.41,0,77.2,0
