sample_id	CHROMOSOME	Arm	GAIN	LOSS	LOH
F16001752	12	q	0	0	0
F16001752	13	q	0	22	0
F16001752	14	q	0	0	0
F16001752	15	q	0	2	0
F16001752	16	q	0	1	0
F16001752	17	q	2	2	0
F16001752	18	q	0	0	0
F16001752	19	q	0	0	0
F16001752	20	q	0	0	0
F16001752	21	q	0	0	0
F16001752	22	q	0	0	0
F16001752	Y	q	0	0	0
F16001752	X	q	0	0	0
F17000401	1	p	3	0	0
F17000401	2	p	18	2	0
F17000401	3	p	0	0	0
F17000401	4	p	2	1	0
F17000401	5	p	3	0	0
F17000401	6	p	0	2	13
F17000401	7	p	3	0	0
F17000401	8	p	0	0	0
F17000401	9	p	0	0	0
F17000401	10	p	0	6	0
F17000401	11	p	21	0	5
F17000401	12	p	1	0	0
F17000401	16	p	16	17	9
F17000401	17	p	0	12	0
F17000401	18	p	0	0	0
F17000401	19	p	8	47	0
F17000401	20	p	0	0	0
F17000401	21	p	0	0	0
F17000401	Y	p	0	0	0
F17000401	X	p	0	0	0
F17000401	1	q	0	0	0
F17000401	2	q	3	0	0
F17000401	3	q	2	0	0
F17000401	4	q	0	0	0
F17000401	5	q	4	0	2
F17000401	6	q	0	24	0
F17000401	7	q	4	7	2
F17000401	8	q	8	0	0
F17000401	9	q	10	0	0
F17000401	10	q	10	0	0
F17000401	11	q	6	0	0
F17000401	12	q	0	0	0
F17000401	13	q	8	6	0
F17000401	14	q	7	0	0
F17000401	15	q	0	0	0
F17000401	16	q	0	0	0
F17000401	17	q	2	9	0
F17000401	18	q	5	0	0
F17000401	19	q	0	53	0
F17000401	20	q	12	0	0
F17000401	21	q	1	0	0
F17000401	22	q	10	1	0
F17000401	Y	q	0	0	0
F17000401	X	q	0	0	0
F18000148	1	p	5	0	2
F18000148	2	p	0	0	0
F18000148	3	p	1	0	3
F18000148	4	p	0	0	10
F18000148	5	p	0	0	0
F18000148	6	p	0	1	0
F18000148	7	p	0	0	0
F18000148	8	p	0	0	0
F18000148	9	p	0	0	7
F18000148	10	p	0	42	0
F18000148	11	p	0	2	0
F18000148	12	p	0	0	0
F18000148	16	p	0	0	9
F18000148	17	p	0	0	0
F18000148	18	p	21	78	0
F18000148	19	p	0	4	0
F18000148	20	p	0	0	0
F18000148	21	p	0	0	0
F18000148	Y	p	0	0	0
F18000148	X	p	0	0	0
F18000148	1	q	45	1	10
F18000148	2	q	0	0	0
F18000148	3	q	0	0	0
F18000148	4	q	0	0	0
F18000148	5	q	0	1	0
F18000148	6	q	0	0	0
F18000148	7	q	0	0	0
F18000148	8	q	0	0	5
F18000148	9	q	9	0	0
F18000148	10	q	0	1	5
F18000148	11	q	0	0	0
F18000148	12	q	0	0	0
F18000148	13	q	0	0	0
F18000148	14	q	0	1	0
F18000148	15	q	2	0	0
F18000148	16	q	0	0	0
F18000148	17	q	0	1	0
F18000148	18	q	97	0	0
F18000148	19	q	0	0	0
F18000148	20	q	0	0	0
F18000148	21	q	2	0	0
F18000148	22	q	17	2	0
F18000148	Y	q	0	0	0
F18000148	X	q	80	0	0
F18000240	1	p	3	7	6
F18000240	2	p	0	3	8
F18000240	3	p	20	2	5
F18000240	4	p	3	0	0
F18000240	5	p	0	0	0
F18000240	6	p	1	3	0
F18000240	7	p	0	0	5
F18000240	8	p	4	4	0
F18000240	9	p	0	20	64
F18000240	10	p	0	20	0
F18000240	11	p	0	0	6
F18000240	12	p	6	9	0
F18000240	16	p	22	0	22
F18000240	17	p	0	69	0
F18000240	18	p	17	26	0
F18000240	19	p	4	1	0
F18000240	20	p	1	0	0
F18000240	21	p	0	0	0
F18000240	Y	p	0	0	0
F18000240	X	p	0	0	0
F18000240	1	q	1	11	8
F18000240	2	q	1	6	0
F18000240	3	q	0	0	8
F18000240	4	q	0	0	2
F18000240	5	q	0	1	7
F18000240	6	q	0	2	2
F18000240	7	q	0	2	4
F18000240	8	q	4	0	8
F18000240	9	q	6	0	4
